PATH, Membrane, Bending-Inside, Bending-Outside, Membrane+Bending-Inside, Membrane+Bending-Center, Membrane+Bending-Outside, Peak-Inside, Peak-Center, Peak-Outside, Total-Inside, Total-Center, Total-Outside, Minimum Temp, Maximum Temp, Average Temp
Path,41.41203727,60.88221479,60.88221479,86.01789815,41.41203727,58.68665108,63.70184664,23.64998662,63.70348671,40.99277955,65.00497047,58.6234789,94.42857361,94.42857361,94.42857361
Path 2,73.74226065,62.06798151,62.06798151,90.9888237,73.74226065,101.4975105,12.00310799,7.996617315,12.12637194,88.72513069,75.64692477,101.8025704,94.42857361,94.42857361,94.42857361
